Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2018 - November 26, 2018"
Statement,Data,WhenGenerated,"2018-11-27, 02:48:11 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Ching Jui Young
Account Information,Data,Account,U9509931
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,35.918401349,625.699155416,0,625.699155416,589.780754066
Net Asset Value,Data,Stock,0,18824.85,0,18824.85,18824.85
Net Asset Value,Data,Total,35.918401349,19450.549155416,0,19450.549155416,19414.630754066
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-100%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,35.918401349
Change in NAV,Data,Mark-to-Market,-389.80843213
Change in NAV,Data,Deposits & Withdrawals,19942.7895496
Change in NAV,Data,Other Fees,-72.4081453
Change in NAV,Data,Commissions,-65.94221758
Change in NAV,Data,Ending Value,19450.549155416
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,ACU,0,0,--,--,5.8756,2.6344,-2.01303695,0,6.49696305,
Mark-to-Market Performance Summary,Data,Stocks,AEYE,0,176,--,6.0000,4.8048,56.7952,-1,0,60.6,
Mark-to-Market Performance Summary,Data,Stocks,ALNA,0,0,--,--,-19.77,107.96,-4.50411927,0,83.68588073,
Mark-to-Market Performance Summary,Data,Stocks,ALPN,0,0,--,--,53.21,-45.21,-3.0244915,0,4.9755085,
Mark-to-Market Performance Summary,Data,Stocks,ASPN,0,30,--,3.2000,0,-3,-1,0,-4,
Mark-to-Market Performance Summary,Data,Stocks,ATOM,0,7,--,3.7100,0,-0.28,-1,0,-1.28,
Mark-to-Market Performance Summary,Data,Stocks,BSGM,0,253,--,3.8300,0,-30.36,-1.265,0,-31.625,
Mark-to-Market Performance Summary,Data,Stocks,BTAI,0,194,--,5.0900,13.58,-23.72,-1,0,-11.14,
Mark-to-Market Performance Summary,Data,Stocks,BXG,0,0,--,--,39.35,-145.6865,-4.06594362,0,-110.40244362,
Mark-to-Market Performance Summary,Data,Stocks,CERC,0,277,--,3.5600,11.08,-22.16,-1.385,0,-12.465,
Mark-to-Market Performance Summary,Data,Stocks,CRVS,0,158,--,6.2400,0,-9.48,-1,0,-10.48,
Mark-to-Market Performance Summary,Data,Stocks,CUE,0,167,--,5.1400,-43.68,117.49,-4.47252724,0,69.33747276,
Mark-to-Market Performance Summary,Data,Stocks,ETTX,0,152,--,6.4000,0,-22.8,-1,0,-23.8,
Mark-to-Market Performance Summary,Data,Stocks,FTNW,0,180,--,4.0300,-469.8,-328.68,-3.74485456,0,-802.22485456,
Mark-to-Market Performance Summary,Data,Stocks,ICD,0,312,--,3.2600,15.6,3.12,-1.56,0,17.16,
Mark-to-Market Performance Summary,Data,Stocks,IMH,0,235,--,4.2000,0,-11.75,-1.175,0,-12.925,
Mark-to-Market Performance Summary,Data,Stocks,KEG,0,57,--,7.0600,0,14.82,-1,0,13.82,
Mark-to-Market Performance Summary,Data,Stocks,KNSA,0,0,--,--,444.4,-422.4,-2.0391875,0,19.9608125,
Mark-to-Market Performance Summary,Data,Stocks,LAZY,0,0,--,--,-74,-38,-2.036514,0,-114.036514,
Mark-to-Market Performance Summary,Data,Stocks,LEVB,0,0,--,--,73.64,-59.2802,-2.67446015,0,11.68533985,
Mark-to-Market Performance Summary,Data,Stocks,LQDA,0,0,--,--,235.87,12.4286,-2.04139453,0,246.25720547,
Mark-to-Market Performance Summary,Data,Stocks,MBIO,0,259,--,3.7400,0,-28.49,-1.295,0,-29.785,
Mark-to-Market Performance Summary,Data,Stocks,MGEN,0,294,--,3.3700,0,-8.82,-1.47,0,-10.29,
Mark-to-Market Performance Summary,Data,Stocks,MGTA,0,115,--,8.8400,205.92,-157.67,-3.6976708,0,44.5523292,
Mark-to-Market Performance Summary,Data,Stocks,MOTS,0,0,--,--,34,-29,-2.01606,0,2.98394,
Mark-to-Market Performance Summary,Data,Stocks,RKDA,0,46,--,4.1700,-4.6,3.22,-1,0,-2.38,
Mark-to-Market Performance Summary,Data,Stocks,RMED,0,124,--,8.1000,0,6.2,-1,0,5.2,
Mark-to-Market Performance Summary,Data,Stocks,ROSE,0,246,--,4.0500,14.76,-14.76,-1.23,0,-1.23,
Mark-to-Market Performance Summary,Data,Stocks,SBT,0,47,--,8.7000,0,-9.4,-1,0,-10.4,
Mark-to-Market Performance Summary,Data,Stocks,SIC,0,134,--,8.6900,22.04,0.98,-2.1827458,0,20.8372542,
Mark-to-Market Performance Summary,Data,Stocks,STRO,0,93,--,10.8500,0,13.95,-1,0,12.95,
Mark-to-Market Performance Summary,Data,Stocks,SVVC,0,0,--,--,-62.4574,82.9974,-2.02260822,0,18.51739178,
Mark-to-Market Performance Summary,Data,Stocks,TBIO,0,0,--,--,49.5,-18,-2.018432,0,29.481568,
Mark-to-Market Performance Summary,Data,Stocks,UROV,0,121,--,8.3000,0,6.05,-1,0,5.05,
Mark-to-Market Performance Summary,Data,Total,,,,,,549.323,-1000.3011,-63.93404614,0,-514.91214614,
Mark-to-Market Performance Summary,Data,Forex,SGD,48.04109,0.00179,0.74766,0.72713,152.41039587,-91.240728,-2.00817144,0,59.16149643,
Mark-to-Market Performance Summary,Data,Forex,USD,0,625.697853853,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,152.41039587,-91.240728,-2.00817144,0,59.16149643,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,701.73339587,-1091.541828,-65.94221758,0,-455.75064971,
Mark-to-Market Performance Summary,Data,Other Fees,,,,,,,,,,-72.4081453,
Total P/L for Statement Period,,,,,,,,,,,,-528.15879501,
Positions and Mark-to-Market Profit and Loss,Header,Asset Class,Currency,Symbol,Description,Prior Quantity,Quantity,Prior Price,Price,Prior Market Value,Market Value,Price,Position,Trading,Comm.,Other,Total
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ACU,ACME UNITED CORP,0,0,-,-,0.00,0.00,5.88,2.63,-2.01,0.00,6.50
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,AEYE,AUDIOEYE INC,0,176,-,6.00,0.00,"1,056.00",4.80,56.80,-1.00,0.00,60.60
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ALNA,ALLENA PHARMACEUTICALS INC,0,0,-,-,0.00,0.00,-19.77,107.96,-4.50,0.00,83.69
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ALPN,ALPINE IMMUNE SCIENCES INC,0,0,-,-,0.00,0.00,53.21,-45.21,-3.02,0.00,4.98
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ASPN,ASPEN AEROGELS INC,0,30,-,3.20,0.00,96.00,0.00,-3.00,-1.00,0.00,-4.00
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ATOM,ATOMERA INC,0,7,-,3.71,0.00,25.97,0.00,-0.28,-1.00,0.00,-1.28
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,BSGM,BIOSIG TECHNOLOGIES INC,0,253,-,3.83,0.00,968.99,0.00,-30.36,-1.26,0.00,-31.62
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,BTAI,BIOXCEL THERAPEUTICS INC,0,194,-,5.09,0.00,987.46,13.58,-23.72,-1.00,0.00,-11.14
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,BXG,BLUEGREEN VACATIONS CORP,0,0,-,-,0.00,0.00,39.35,-145.69,-4.07,0.00,-110.40
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,CERC,CERECOR INC,0,277,-,3.56,0.00,986.12,11.08,-22.16,-1.38,0.00,-12.46
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,CRVS,CORVUS PHARMACEUTICALS INC,0,158,-,6.24,0.00,985.92,0.00,-9.48,-1.00,0.00,-10.48
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,CUE,CUE BIOPHARMA INC,0,167,-,5.14,0.00,858.38,-43.68,117.49,-4.47,0.00,69.34
